de  1  的  0  
shi  1  是  0  
zai  1  在  0  
yi  1  一  0  
bu  1  不  0  
you  1  有  0  
zhe  1  这  0  
ge  1  个  0  
shang  1  上  0  
ye  1  也  0  
ta  1  他  0  
ren  1  人  0  
jiu  1  就  0  
dui  1  对  0  
shuo  1  说  0  
wo  1  我  0  
yao  1  要  0  
dao  1  到  0  
da  1  大  0  
wo'men  1  我们  0  
duo  1  多  0  
ba  1  把  0  
lai  1  来  0  
deng  1  等  0  
nian  1  年  0  
liang  1  两  0  
cong  1  从  0  
er  1  而  0  
neng  1  能  0  
you  1  又  0  
ta'men  1  他们  0  
yi  1  以  0  
shi  1  时  0  
mei'you  1  没有  0  
hui  1  会  0  
zhi  1  之  0  
dan  1  但  0  
san  1  三  0  
bei  1  被  0  
hen  1  很  0  
xia  1  下  0  
zi'ji  1  自己  0  
hou  1  后  0  
zhong'guo  1  中国  0  
bing  1  并  0  
shi  1  使  0  
xiang  1  向  0  
yi  1  已  0  
chu  1  出  0  
yong  1  用  0  
xin  1  新  0  
suo  1  所  0  
li  1  里  0  
gei  1  给  0  
ta  1  她  0  
geng  1  更  0  
ci  1  次  0  
zui  1  最  0  
yu  1  于  0  
ke'yi  1  可以  0  
ke  1  可  0  
qu  1  去  0  
you  1  由  0  
wen'ti  1  问题  0  
xiao  1  小  0  
gong'zuo  1  工作  0  
rang  1  让  0  
qi  1  其  0  
ni  1  你  0  
zhe'ge  1  这个  0  
sheng'huo  1  生活  0  
qi  1  起  0  
zhe'yang  1  这样  0  
tian  1  天  0  
ta  1  它  0  
gao  1  高  0  
zuo  1  做  0  
jia  1  家  0  
yi'jing  1  已经  0  
zai  1  再  0  
huo  1  或  0  
cai  1  才  0  
qian  1  前  0  
zou  1  走  0  
zhe'xie  1  这些  0  
yi'xie  1  一些  0  
que  1  却  0  
er  1  二  0  
tiao  1  条  0  
wei  1  位  0  
qi'lai  1  起来  0  
ge  1  各  0  
cheng  1  成  0  
shen'me  1  什么  0  
yuan  1  元  0  
xian'zai  1  现在  0  
she'hui  1  社会  0  
bi  1  比  0  
tong  1  同  0  
si  1  四  0  
guan'xi  1  关系  0  
ming  1  名  0  
xiang  1  想  0  
ru  1  如  0  
di'yi  1  第一  0  
yin'wei  1  因为  0  
gai  1  该  0  
kai'shi  1  开始  0  
xu'duo  1  许多  0  
nei  1  内  0  
shi'jian  1  时间  0  
ren'men  1  人们  0  
jin'tian  1  今天  0  
guo'jia  1  国家  0  
ben  1  本  0  
dian  1  点  0  
si'xiang  1  思想  0  
zhi  1  至  0  
ci  1  此  0  
yi'ding  1  一定  0  
ru'guo  1  如果  0  
fu  1  副  0  
wu  1  无  0  
zhang  1  张  0  
tong'shi  1  同时  0  
xu'yao  1  需要  0  
yue  1  月  0  
ze  1  则  0  
zhong'yao  1  重要  0  
wei'le  1  为了  0  
ri  1  日  0  
lao  1  老  0  
jiu'shi  1  就是  0  
zuo  1  作  0  
wu  1  五  0  
ren'min  1  人民  0  
shi  1  事  0  
ren'wei  1  认为  0  
cheng'wei  1  成为  0  
xiang  1  像  0  
bei'jing  1  北京  0  
li'shi  1  历史  0  
shui  1  水  0  
fang'mian  1  方面  0  
qing'kuang  1  情况  0  
er'qie  1  而且  0  
dang  1  党  0  
xue'sheng  1  学生  0  
mei  1  每  0  
zhe'li  1  这里  0  
dan'shi  1  但是  0  
hai'zi  1  孩子  0  
ke'neng  1  可能  0  
fa'sheng  1  发生  0  
bi'xu  1  必须  0  
zhi'you  1  只有  0  
wai  1  外  0  
yao'qiu  1  要求  0  
quan  1  全  0  
fa'xian  1  发现  0  
jin'xing  1  进行  0  
te'bie  1  特别  0  
yin  1  因  0  
sui  1  岁  0  
de'dao  1  得到  0  
jian  1  件  0  
wen'hua  1  文化  0  
fen  1  分  0  
bian  1  便  0  
tong'zhi  1  同志  0  
fa'zhan  1  发展  0  
ji  1  即  0  
ri'ben  1  日本  0  
zong  1  总  0  
yin'ci  1  因此  0  
dui'yu  1  对于  0  
ling'dao  1  领导  0  
dai  1  带  0  
ji  1  既  0  
shi'hou  1  时候  0  
qian  1  钱  0  
zi  1  自  0  
zheng'fu  1  政府  0  
chi  1  吃  0  
fei  1  非  0  
jue'ding  1  决定  0  
jin  1  进  0  
hai'shi  1  还是  0  
shou  1  受  0  
guo  1  国  0  
ying'gai  1  应该  0  
jin  1  近  0  
mei  1  美  0  
zheng'zhi  1  政治  0  
hua  1  话  0  
gong'si  1  公司  0  
gan'bu  1  干部  0  
chu'xian  1  出现  0  
kai  1  开  0  
yi'qie  1  一切  0  
yan'jiu  1  研究  0  
ren'shi  1  认识  0  
xie  1  写  0  
shi'fen  1  十分  0  
shi  1  十  0  
zhan  1  站  0  
zhi'jian  1  之间  0  
wen  1  问  0  
xi'wang  1  希望  0  
kuai  1  快  0  
sui'ran  1  虽然  0  
xiang  1  相  0  
mei'guo  1  美国  0  
zhi'dao  1  知道  0  
jiang  1  讲  0  
da'jia  1  大家  0  
xue'xiao  1  学校  0  
zu'zhi  1  组织  0  
jian  1  见  0  
you'yu  1  由于  0  
zheng'zai  1  正在  0  
fa  1  法  0  
biao'shi  1  表示  0  
yi'yang  1  一样  0  
huo'dong  1  活动  0  
ru'he  1  如何  0  
jiao'yu  1  教育  0  
shu  1  书  0  
ju  1  据  0  
cheng'shi  1  城市  0  
dao  1  道  0  
yi'shu  1  艺术  0  
jing'ji  1  经济  0  
yi'ji  1  以及  0  
bu  1  部  0  
ying'xiang  1  影响  0  
tai  1  太  0  
qi'zhong  1  其中  0  
xue  1  学  0  
xian'sheng  1  先生  0  
wan'quan  1  完全  0  
lian  1  连  0  
zhu'yao  1  主要  0  
ji'xu  1  继续  0  
tou  1  头  0  
ge'ming  1  革命  0  
zhi'hou  1  之后  0  
can'jia  1  参加  0  
neng'gou  1  能够  0  
zhu  1  住  0  
shang'hai  1  上海  0  
jing'guo  1  经过  0  
fei'chang  1  非常  0  
di  1  低  0  
shen'zhi  1  甚至  0  
ting  1  听  0  
xian  1  先  0  
yi'zhi  1  一直  0  
xue'xi  1  学习  0  
reng  1  仍  0  
ban  1  办  0  
suo'yi  1  所以  0  
dai'biao  1  代表  0  
bian  1  变  0  
zui'hou  1  最后  0  
yi'qi  1  一起  0  
wan  1  万  0  
suo'you  1  所有  0  
na'me  1  那么  0  
xin  1  心  0  
yue  1  越  0  
jiao  1  较  0  
ban'fa  1  办法  0  
lu  1  路  0  
you'xie  1  有些  0  
wei  1  未  0  
tong'guo  1  通过  0  
zhao  1  找  0  
an  1  按  0  
na  1  拿  0  
jie'jue  1  解决  0  
yi'ban  1  一般  0  
ling  1  另  0  
jing  1  经  0  
ban  1  半  0  
qiang  1  强  0  
huo'zhe  1  或者  0  
shi'dai  1  时代  0  
shou  1  手  0  
zuo'pin  1  作品  0  
bu'duan  1  不断  0  
yi'hou  1  以后  0  
guan'yu  1  关于  0  
qing'nian  1  青年  0  
ge'zhong  1  各种  0  
zhen  1  真  0  
qi'ta  1  其他  0  
nong'min  1  农民  0  
na'xie  1  那些  0  
yu  1  余  0  
duan  1  段  0  
you'de  1  有的  0  
mai  1  买  0  
gen'ben  1  根本  0  
xian  1  县  0  
zuo'zhe  1  作者  0  
zhe  1  者  0  
qing  1  请  0  
jiao  1  叫  0  
gan'dao  1  感到  0  
zen'me  1  怎么  0  
ren'he  1  任何  0  
liu  1  六  0  
biao'xian  1  表现  0  
fan  1  反  0  
cun'zai  1  存在  0  
ran'er  1  然而  0  
zhun'bei  1  准备  0  
song  1  送  0  
yue  1  约  0  
bi'jiao  1  比较  0  
shu'ji  1  书记  0  
ai  1  爱  0  
dan'wei  1  单位  0  
qun'zhong  1  群众  0  
ying'dang  1  应当  0  
wang  1  王  0  
zao  1  早  0  
nv  1  女  0  
men  1  门  0  
ge'ren  1  个人  0  
zuo  1  座  0  
quan'guo  1  全国  0  
yi'yi  1  意义  0  
hua  1  花  0  
tiao'jian  1  条件  0  
huan'jing  1  环境  0  
liao'jie  1  了解  0  
gao  1  搞  0  
li'liang  1  力量  0  
bu'jin  1  不仅  0  
mu'qian  1  目前  0  
jing'yan  1  经验  0  
chan'sheng  1  产生  0  
zhen'zheng  1  真正  0  
hui  1  回  0  
dui  1  队  0  
you'guan  1  有关  0  
zi  1  字  0  
hui'yi  1  会议  0  
sheng'ming  1  生命  0  
jin'nian  1  今年  0  
nu'li  1  努力  0  
kao  1  靠  0  
ba  1  八  0  
shi  1  市  0  
lei  1  类  0  
gong  1  共  0  
yi'jian  1  意见  0  
si  1  死  0  
min'zu  1  民族  0  
kuai  1  块  0  
zhi'yao  1  只要  0  
wen'xue  1  文学  0  
cheng'gong  1  成功  0  
bian'hua  1  变化  0  
ju  1  句  0  
guan  1  管  0  
ni'men  1  你们  0  
zhi  1  指  0  
di'qu  1  地区  0  
fang  1  方  0  
he  1  和  0  
xiang  1  项  0  
zhu'yi  1  注意  0  
dang'ran  1  当然  0  
da  1  达  0  
mian  1  面  0  
zuo  1  坐  0  
jia'ting  1  家庭  0  
yuan'yin  1  原因  0  
jin'ru  1  进入  0  
bing  1  病  0  
jie'shao  1  介绍  0  
xia'lai  1  下来  0  
shi'qing  1  事情  0  
